n,p,num_indices,nrow,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean,MSE_all_initial_geomean,MSE_all_geomean,MSE_isvd_geomean,MSE_mf_geomean,k,MSE_ratio,MSE_difference,MSE_mf_ratio,MSE_mf_difference,MSE_isvd_ratio,MSE_isvd_difference
50,3.0,150,50,1035.44,3.236132041537335,3601.56718295235,0.040884477970250035,0.018066722378172785,0.30147590289512083,0.27666575937019267,0.23071299055394892,1.4345139407249643,1,0.08967551164049523,0.024810143524928163,4.185007150832542,1.1578481813547716,-0.1660948898080179,-0.045952768816243744
50,3.0,255,50,980.54,3.4079888741256115,3468.4916867306383,0.026206442028750915,0.00954137664907581,0.12477598996202026,0.11560012921130797,0.0844901998703875,1.2621411838276793,1,0.07937586932917297,0.009175860750712292,9.91816412696723,1.1465410546163712,-0.26911673501725897,-0.031109929340920467
50,3.0,352,50,870.08,3.865608479907765,3386.9335392980993,0.019528839018631335,0.0038179210739344147,0.06711777094654439,0.05761784066827526,0.04075676684241916,0.9262031011968269,1,0.16487827672965633,0.009499930278269134,15.074935999932398,0.8685852605285517,-0.29263633677164,-0.016861073825856096
75,2.0,150,50,191.94,18.22770964997504,3608.879201092948,0.3102361246178281,0.16534035400099734,0.8373923741736589,0.7579154050088694,0.8138650759147538,1.5978979651859693,1,0.10486258577084778,0.07947696916478941,1.1082800991058759,0.8399825601770998,0.07382046932431671,0.05594967090588432
75,2.0,282,50,190.96,18.3557897950858,3609.9815048979976,0.01413010483269285,0.008750806936607406,0.24765385143647986,0.2395832367049111,0.18325099451765126,1.4139351405966114,1,0.033686057683197324,0.008070614731568754,4.901644706211734,1.1743519038917003,-0.2351259752644669,-0.05633224218725985
75,2.0,421,50,175.96,20.06465974933716,3610.719393528083,0.010337915890423181,0.004018814155127116,0.13360251667526035,0.12710809592480685,0.08745677222538849,1.315040037290745,1,0.05109368292555811,0.006494420750453506,9.345840111307162,1.1879319413659382,-0.3119496316180744,-0.03965132369941836
75,2.5,188,50,198.5,17.591219007491205,3609.5203740984716,0.04031527254457787,0.021852197580192467,0.5045154618039274,0.45208593346730436,0.45213505378011526,1.4954189783015235,1,0.11597248322793659,0.05242952833662301,2.307820189918992,1.043333044834219,0.0001086526015843277,4.91203128109019e-5
75,2.5,352,50,189.26,18.573275405240935,3608.7448290987877,0.010873610614222559,0.00563912027616641,0.18407067043335318,0.18076683795074672,0.13172552671617963,1.373182571709015,1,0.018276762043636853,0.0033038324826064613,6.596429673030868,1.1924157337582681,-0.27129595112976035,-0.04904131123456709
75,2.5,527,50,161.94,20.593974191233954,2960.420069319303,0.005805418819754335,0.0018950878348303125,0.08715883897158735,0.0833138704767592,0.05527666743281396,1.114082671084144,1,0.046150400561461455,0.003844968494828155,12.372115167724957,1.030768800607385,-0.3365250333888443,-0.02803720304394524
75,3.0,225,50,196.3,17.834194587954627,3608.4692796029994,0.015854335191723665,0.010222163227408512,0.3484733498048938,0.3318800603040098,0.28827643698619454,1.4814069981855105,1,0.049997850083804904,0.016593289500884012,3.4636818398445133,1.1495269378815007,-0.13138367902510723,-0.043603623317815254
75,3.0,422,50,186.66,18.908605024330814,3610.5924692943727,0.009439027625026311,0.003967864645551781,0.13222735051625417,0.126914839517966,0.0873588570941088,1.2652421902811695,1,0.041858863931637645,0.005312510998288167,8.969221842667677,1.1383273507632035,-0.3116734226989877,-0.0395559824238572
75,3.0,632,50,143.74,20.74312058947713,2224.375849444899,0.003991100586391005,0.0007685964890523378,0.05959377919734195,0.05541575878880003,0.03461667632852718,0.8940118542668191,1,0.07539408464052885,0.00417802040854192,15.132809038563703,0.838596095478019,-0.37532793766376277,-0.02079908246027285
100,2.0,200,50,59.68,59.826240781009766,3633.717155390079,0.17749211489526145,0.14120816101632172,0.8666597311423363,0.784610089825896,0.8267990546213931,1.5412276299958292,1,0.10457377795721062,0.08204964131644032,0.9643229802688692,0.7566175401699332,0.05377061210729376,0.042188964795497164
100,2.0,400,50,60.14,59.55031552405417,3628.7109835664146,0.0063952001832970045,0.0034014635784366115,0.2719460195758489,0.2674254448727794,0.2022137116505744,1.3906468293604604,1,0.016904056026605975,0.004520574703069491,4.200129067830564,1.1232213844876808,-0.2438501439278816,-0.06521173322220503
100,2.0,634,50,52.18,64.91246596168105,3030.5057256269542,0.0031358811694942026,0.0007767722095086314,0.1305071822946508,0.12582716673968664,0.08085657371476938,1.223306131701829,1,0.03719399932644325,0.0046800155549641675,8.722114575087154,1.0974789649621424,-0.3573997109698351,-0.04497059302491725
100,2.5,250,50,60.78,58.79262952198623,3629.7462874340085,0.027691930154242192,0.021807085837627624,0.5465577507977765,0.4969896362629832,0.48165666604130014,1.5020087690940946,1,0.09973671665974979,0.04956811453479326,2.0222134618101033,1.0050191328311113,-0.030851690061338796,-0.015332970221683062
100,2.5,500,50,58.36,61.39864504830718,3626.5185487374756,0.006251522953358633,0.0023469832115051,0.19510330325603747,0.19178752438168248,0.13229924352120007,1.333124354158728,1,0.01728881419709115,0.0033157788743549965,5.951048346114708,1.1413368297770456,-0.3101780527814358,-0.05948828086048241
